"Master BOM — all assemblies, one sheet",,,,,,,,,,,
,,,,,,,,,,,
Assembly,,Item,Description,Manufacturer,Qty,Unit $,Ext $,Current source,Mouser / CS-ecosystem option,Origin of Manufacture,Link
Robot,Powertrain,Wheel bushings,½” to 5/8” bushing 3 ½” long,Generic,4,$2.50,$10.00,Amazon,No,China,https://www.amazon.com/WFCYQ-Bushings-332-Replacement-Height/dp/B0FWC5977R/ref=sr_1_2?crid=I7BKJOFPIQQ4&dib=eyJ2IjoiMSJ9.Nnesl6M-FFTSsqVh75_JWt0uv6DAwpuA1uj5slZDRqG2_bGqRaT6-JO4IxGsIJIzel9q17lnN3-62fyL-R_UiF-7WM58svfUm0JDbEWXUk6xq1XXbomJ27usjYAfCPiXj5ZcrdjhybGGMpHTBk54m5ptUvjh40BKwzxaPUOmlsx63jP4qx4cjyuFDsBndK0UBrzh-8rnGMhcOCBgHedSQxVjV8gIITqLXcnJMhDK_DU.6CjU_qMlq52xMCSNZVTljSjPN-KmVakZH1ihIuVD_NA&dib_tag=se&keywords=5%2F8%2Bto%2B1%2F2%2Bwheel%2Bbushing&qid=1785365716&sprefix=5%2F8%2Bto%2B1%2F2%2Bwhee%2Caps%2C189&sr=8-2
Robot,Electronic,Power Switch,Round Blue LED Toggle Switch 12v 20A,Generic,2,$1.10,$2.20,Amazon,Yes,China,https://www.amazon.com/dp/B08TBZ23C1?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
Robot,Structure,Body shell,Body,self-made (printed),1,$5.00,$5.00,In House,No (self-fab),USA,
Robot,Structure,Axle Mount Fasteners,"1/4”x20 3” carriage bolts, nut, and washer",Generic,16,$0.70,$11.20,Amazon,No,China,https://www.amazon.com/EASTPUK-Carriage-Washers-Stainless-Outdoor/dp/B0FBFKSHXG/ref=sr_1_4?crid=1GE52Y8SJIPT&dib=eyJ2IjoiMSJ9.v3rXy-1DUUzLH6NuMgquUQ0Stg2ZyWvtL9Gm5S9kJbl-4-1SoG2xGlZe50gqQtO4RDWZgSK90Rv96dYM0L67S4pLTHo6F3V0HvBIvlmPLa7lpElu_RL1GZPKltnMKt9IRJDuhbc18WEv_xI-Yw9wxdG4Q1yqcUKhttgKlGAjHyDewoa5oGu4z3doF3IrZx17215-I9KiZvslcDy0v81ylTLw33wpDj8sdfvjAGPfOY0.6_ok6QEfCzQfGrbmBenJxhTziroN1hhfiS_gASupskA&dib_tag=se&keywords=1%2F4%22-20%2B3%22%2Bcarriage%2Bbolt&qid=1785363194&sprefix=1%2F4%2B-20%2B3%2Bcarriage%2Bbol%2Caps%2C195&sr=8-4&th=1
"Robot, Controller",Structure,Consumables,Consumables,Generic,1,$5.00,$5.00,In House,No,USA,
Controller,Electronic,Analog thumb joystick,KY-023 Control Stick,Generic,1,$1.20,$1.20,Amazon,Yes,China,https://www.amazon.com/dp/B0F4KJ6LKG?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
Controller,Electronic,USB Cable,usb c to usb a cable,Generic,1,$2.00,$2.00,Amazon,Yes,China,
Controller,Structure,Printed enclosure,Enclosure,self-made (printed),1,$1.00,$1.00,In House,No (self-fab),USA,
Controller,Electronic,USB Battery,Consumer USB Battyer,Generic,1,$10.00,$10.00,Amazon,No,China,
,,,,,,,,,,,
,,GRAND TOTAL (per full set: robot + controller),,,,,$300.10,,,,
